Job title,Company,location,job type
AI & Data Science Python Developer Intern,Sequel Solutions -,"Cairo, Egypt ",Internship
AI Engineer,Ewa  -,"Cairo, Egypt ",Full Time
AI Web Developer,Finding From Egy  -,"Smouha, Alexandria, Egypt ",Full Time
Senior AI Researcher,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Full Time
"AI Software Engineer, Trilogy (Remote) - $100,000/year USD",Crossover -,"Dubai, United Arab Emirates ",Full Time
Research Engineer,Ewa  -,"Cairo, Egypt ",Full Time
"AI Software Engineer, Skyvera (Remote) - $200,000/year USD",Crossover -,"Cairo, Egypt ",Full Time
Full-stack Software Engineer (AI Applications),CharCentric -,"Cairo, Egypt ",Freelance / Project
Senior Python Developer,Etisalat Egypt -,"Cairo, Egypt ",Full Time
AI/ Machine Learning Sr. Engineer,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Remote Machine Learning/AI Developer,Scopic Software -,"Cairo, Egypt ",Full Time
Second Level Technical Support Engineer,3D Diagnostix -,"Maadi, Cairo, Egypt ",Full Time
"AI Developer, Skyvera (Remote) - $200,000/year USD",Crossover -,"Cairo, Egypt ",Full Time
"AI-Augmented Software Developer, Skyvera (Remote) - $200,000/year USD",Crossover -,"Dubai, United Arab Emirates ",Full Time
MLOps Engineer - LLM and GenAI Products,Merck Group -,"Cairo, Egypt ",Full Time
(Largest Energy Chemical) Generative AI Expert,MatchaTalent -,"Kuwait City, Kuwait ",Full Time
"Data Annotator for AI Models | Arabic (Egypt) and English | Remote, Part Time, Work from Home",RWS Group -,"Cairo, Egypt ",Part Time
"Online Rater for AI Models | Arabic (Egypt) and English | Remote, Part Time, Work from Home",RWS Group -,"Cairo, Egypt ",Part Time
Tech Lead (React & NextJS),DevsData -,"Brooklyn, United States ",Full Time
"Artificial Intelligence Engineer, Skyvera (Remote) - $200,000/year USD",Crossover -,"Cairo, Egypt ",Full Time
Graphic & Social Media Specialist /A&I design company,WRIGHT PLAN -,"New Cairo, Cairo, Egypt ",Full Time
"AI Leader, Energy & Utilities, MEA",Oracle -,"Dubai, United Arab Emirates ",Full Time
Supply Lead,V2X Inc -,"Kuwait City, Kuwait ",Full Time
Remote Lead Data Scientist,Turing -,"Cairo, Egypt ",Full Time
MicroStrategy Tech Lead,Cognizant -,"Riyadh, Saudi Arabia ",Full Time
DevOps Engineer,34ML -,"Heliopolis, Cairo, Egypt ",Full Time
Senior IoT Solutions Engineer,Tatbeek For Digital Solutions -,"Cairo, Egypt ",Full Time
Tech Lead,Virtusa -,"Doha, Qatar ",Full Time
Applied Scientist - Research,Core42 -,"Dubai, United Arab Emirates ",Full Time
Cloud Solution Architecture IC5,Microsoft -,"Riyadh, Saudi Arabia ",Full Time
Senior Secondary Design Engineer,Rawaj-HCM -,"Cairo, Egypt ",Full Time
Tech Lead (Solution Architect and Documentation Specialist),Brixio -,"Dubai, United Arab Emirates ",Full Time
Senior Software Engineer (Backend),MDBee Inc. -,"Toledo, United States ",Full Time
Senior Front End Engineer,DX -,"New Cairo, Cairo, Egypt ",Full Time
Software Quality Control Engineer,3i Vision LTD. -,"Hadayek Alahram, Giza, Egypt ",Full Time
Senior Computer Vision Engineer,RTR Software Solutions  -,"Nasr City, Cairo, Egypt ",Full Time
"Enterprise Account Executive, IgniteTech (Remote) - $100,000/year USD",Crossover -,"Dubai, United Arab Emirates ",Full Time
Senior Software Engineer,SEOS7 -,"6th of October, Giza, Egypt ",Full Time
Senior Backend/Data Engineer,Skilkit -,"Dubai, United Arab Emirates ",Full Time
Laravel Developer,34ML -,"Heliopolis, Cairo, Egypt ",Full Time
Data Engineer,Halian -,"Dubai, United Arab Emirates ",Full Time
Senior Full Stack Engineer,Kanari AI -,"Doha, Qatar ",Full Time
Senior Engineer - Transmission Network,Core42 -,"Dubai, United Arab Emirates ",Full Time
Software Project Manager - Enterprise Resource Planning (ERP) System,Confidential -,"6th of October, Giza, Egypt ",Full Time
"Mobile QA Engineer, gt.school (Remote) - $60,000/year USD",Crossover -,"Cairo, Egypt ",Full Time
