Job title,Company,location,job type
AI & Data Science Python Developer Intern,Sequel Solutions -,"Cairo, Egypt ",Internship
AI Engineer,Ewa  -,"Cairo, Egypt ",Full Time
AI Web Developer,Finding From Egy  -,"Smouha, Alexandria, Egypt ",Full Time
Senior AI Researcher,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Full Time
"AI Software Engineer, Trilogy (Remote) - $100,000/year USD",Crossover -,"Dubai, United Arab Emirates ",Full Time
Research Engineer,Ewa  -,"Cairo, Egypt ",Full Time
"AI Software Engineer, Skyvera (Remote) - $200,000/year USD",Crossover -,"Cairo, Egypt ",Full Time
Full-stack Software Engineer (AI Applications),CharCentric -,"Cairo, Egypt ",Freelance / Project
Senior Python Developer,Etisalat Egypt -,"Cairo, Egypt ",Full Time
AI/ Machine Learning Sr. Engineer,MIGRATIONIT -,"Cairo, Egypt ",Full Time
Remote Machine Learning/AI Developer,Scopic Software -,"Cairo, Egypt ",Full Time
Second Level Technical Support Engineer,3D Diagnostix -,"Maadi, Cairo, Egypt ",Full Time
"AI Developer, Skyvera (Remote) - $200,000/year USD",Crossover -,"Cairo, Egypt ",Full Time
"AI-Augmented Software Developer, Skyvera (Remote) - $200,000/year USD",Crossover -,"Dubai, United Arab Emirates ",Full Time
MLOps Engineer - LLM and GenAI Products,Merck Group -,"Cairo, Egypt ",Full Time
